Company,Global,Founded,WorkHourBalance,LastQuarterProfit,YearlyProfit,FiveYearProfit,MonthlyExpenses
Avaveo,true,08/23/2000,126,-10072,444476724,-9076397828562201964,91425.73
Jetpulse,true,11/15/2008,105,11060,-1825024326,7377171872173613562,68658.69
Edgeify,false,06/08/2008,97,-22748,-1308473879,965880424599833846,59510.66
Mybuzz,false,10/05/2001,-50,15941,904064004,449187110734564839,18080.97
Wordtune,false,04/09/2002,-9,-7184,464788178,-533123614851797715,95407.78
Wordware,true,09/29/2013,-65,660,-1015204409,8063094128116108267,94232.96
Eamia,true,07/20/2005,-102,-11532,1233982611,-3646007229401737922,76083.32
Blognation,true,01/29/1993,15,-22666,1872583630,-233860083610578959,79860.07
Skyble,true,08/05/1999,18,-22709,2063886126,-2268823332296612342,83780.0
Skiptube,false,09/21/2008,118,17580,-530010250,-4527271562394240516,21786.73
Browsecat,true,06/25/1993,18,25977,-1487810111,-3114318984317152806,45759.7
Katz,true,10/30/2011,-112,-17009,-1970446313,1752916966416299712,16552.8
Edgepulse,true,11/02/2007,47,-32502,-1144754501,-1276395060866577958,18860.03
Linkbuzz,false,06/20/1992,22,13871,1486160111,-3596023040035614650,33192.56
Bubbletube,false,02/14/2011,72,-22314,1585843503,2459562622996156455,2972.62
Oyoyo,true,10/16/2003,122,-13197,856470141,5059976205802390059,8353.57
Wikizz,true,09/13/2000,68,1990,-812054042,-6899269128700355733,60390.13
Chatterpoint,false,01/26/2013,-2,-31346,531402757,8547989761339783935,71646.7
Feedfire,false,04/23/2004,-20,7249,-215903710,3142108600066739956,88126.58
Skidoo,true,10/12/2007,92,5551,-1868919747,-267585228509366449,39966.38
Mudo,true,12/27/1992,30,12694,1666629406,1066838542748602890,42296.45
Linktype,false,05/31/2005,-120,23587,128370523,1201386292379955794,70646.77
Gevee,false,07/24/1998,-16,-8929,794715164,-7983897498482814437,2131.3
Kare,true,09/23/2007,-106,-27745,-253605882,-2938930492852807669,49501.82
Jetwire,true,03/30/2006,28,-28921,-439705353,-8935530813838443809,69761.99
Jetwire,false,10/22/2007,-93,-6884,1069922979,-6609211197111342195,53472.08
Twinte,true,10/21/2009,117,-1880,1844148632,1144764132763053139,63529.82
Brightbean,false,07/11/2001,117,23106,1278873513,5409340505585410237,99640.21
Wikivu,true,12/20/1992,-29,18344,1143274904,4046745247668859500,85039.26
Zoombeat,false,10/24/1999,56,-21851,-1491506349,-8487455300966770802,83216.14
Livefish,true,01/17/1992,-73,5846,-155830993,2881869573718934073,24453.93
Wikido,true,06/01/2010,93,-32423,1425456553,8974223012726907149,83949.06
